lsvmall
             precision    recall  f1-score   support

        0.0       0.98      0.68      0.80       684
        1.0       0.12      0.78      0.20        37

avg / total       0.94      0.69      0.77       721
10	0.1	0.017	0.078
20	0.25	0.055	0.195
30	0.167	0.036	0.15
40	0.175	0.04	0.167
50	0.18	0.04	0.202
60	0.217	0.04	0.266
70	0.2	0.04	0.282
80	0.225	0.04	0.343
90	0.211	0.04	0.357
100	0.2	0.04	0.372
200	0.145	0.04	0.488
300	0.107	0.04	0.523
500	0.068	0.04	0.545
1000	0.037	0.04	0.576
