lsvmcombtest
             precision    recall  f1-score   support

        0.0       0.98      0.73      0.84      3642
        1.0       0.08      0.68      0.15       132

avg / total       0.95      0.73      0.82      3774
10	0.3	0.075	0.214
20	0.3	0.085	0.244
30	0.267	0.078	0.235
40	0.225	0.065	0.211
50	0.26	0.072	0.238
60	0.25	0.069	0.234
70	0.286	0.079	0.261
80	0.275	0.076	0.255
90	0.267	0.074	0.251
100	0.25	0.069	0.24
200	0.2	0.07	0.28
300	0.167	0.07	0.329
500	0.132	0.07	0.403
1000	0.088	0.07	0.494
