lsvmenb
             precision    recall  f1-score   support

        0.0       0.99      0.68      0.81       684
        1.0       0.12      0.84      0.22        37

avg / total       0.94      0.69      0.78       721
10	0.3	0.083	0.221
20	0.25	0.071	0.213
30	0.233	0.063	0.21
40	0.175	0.051	0.183
50	0.14	0.051	0.183
60	0.167	0.051	0.232
70	0.171	0.051	0.263
80	0.163	0.051	0.278
90	0.156	0.051	0.293
100	0.17	0.051	0.337
200	0.135	0.051	0.471
300	0.103	0.051	0.52
500	0.074	0.051	0.587
1000	0.037	0.051	0.587
