rsvmenb
             precision    recall  f1-score   support

        0.0       0.98      0.82      0.90       684
        1.0       0.19      0.76      0.30        37

avg / total       0.94      0.82      0.87       721
10	0.2	0.045	0.152
20	0.2	0.048	0.171
30	0.267	0.066	0.225
40	0.3	0.087	0.269
50	0.24	0.087	0.269
60	0.233	0.087	0.303
70	0.229	0.087	0.334
80	0.237	0.087	0.379
90	0.222	0.087	0.394
100	0.22	0.087	0.423
200	0.14	0.087	0.501
300	0.107	0.087	0.549
500	0.074	0.087	0.604
1000	0.037	0.087	0.604
