             precision    recall  f1-score   support

        0.0       0.99      0.68      0.80      3642
        1.0       0.08      0.77      0.14       132

avg / total       0.96      0.68      0.78      3774

10	0.7	0.041	0.731
20	0.4	0.045	0.507
30	0.333	0.051	0.436
40	0.275	0.053	0.378
50	0.22	0.053	0.325
60	0.217	0.056	0.31
70	0.186	0.056	0.278
80	0.188	0.059	0.271
90	0.167	0.059	0.25
100	0.17	0.062	0.246
200	0.175	0.071	0.299
300	0.147	0.071	0.343
500	0.12	0.071	0.416
1000	0.091	0.071	0.543
ClaimBuster
10	0.1	0.001	0.078
20	0.15	0.004	0.12
30	0.133	0.005	0.116
40	0.1	0.005	0.095
50	0.16	0.009	0.139
60	0.167	0.012	0.146
70	0.2	0.018	0.172
80	0.2	0.021	0.175
90	0.2	0.024	0.177
100	0.18	0.024	0.164
200	0.15	0.031	0.2
300	0.163	0.031	0.293
500	0.136	0.031	0.381
1000	0.092	0.031	0.48
