             precision    recall  f1-score   support

        0.0       0.98      0.91      0.94      3642
        1.0       0.15      0.45      0.22       132

avg / total       0.95      0.89      0.92      3774

10	0.3	0.01	0.297
20	0.2	0.012	0.225
30	0.167	0.013	0.197
40	0.2	0.018	0.215
50	0.2	0.021	0.213
60	0.183	0.023	0.199
70	0.214	0.029	0.22
80	0.225	0.034	0.227
90	0.211	0.035	0.217
100	0.2	0.037	0.208
200	0.18	0.044	0.257
300	0.16	0.044	0.316
500	0.132	0.044	0.398
1000	0.094	0.044	0.513
10	0.1	0.001	0.078
20	0.15	0.004	0.123
30	0.133	0.005	0.118
40	0.125	0.006	0.114
50	0.18	0.011	0.154
60	0.167	0.012	0.148
70	0.2	0.018	0.173
80	0.212	0.023	0.185
90	0.2	0.025	0.178
100	0.18	0.025	0.165
200	0.15	0.032	0.201
300	0.16	0.032	0.29
500	0.136	0.032	0.381
1000	0.092	0.032	0.481
